Time,tempo, Perror, Wtx, Tout, erro e total, reenvios, Tout total
0,0,0,1,1,0,0,0
84,4,"0,1",1,1,4,4,4
404,6,"0,2",1,1,6,6,6
1041,5,"0,3",1,1,4,4,4
1819,17,"0,4",1,1,17,17,17
3118,16,"0,5",1,1,16,16,16
4762,40,"0,6",1,1,39,39,39
7135,80,"0,7",1,1,80,80,80
10758,69,"0,8",1,1,68,68,68
17274,159,"0,9",1,1,159,159,159
1,0, 0.0,2,1,0,0,0
130,5, 0.1,2,1,5,7,7
477,7, 0.2,2,1,12,12,12
1155,5, 0.3,2,1,7,10,10
2065,11, 0.4,2,1,16,19,19
3412,13, 0.5,2,1,22,23,23
5210,20, 0.6,2,1,37,40,40
7791,29, 0.7,2,1,48,49,49
12099,81, 0.8,2,1,137,137,137
19455,100, 0.9,2,1,165,170,170
10,0, 0.0,3,1,0,0,0
158,3, 0.1,3,1,1,7,7
565,5, 0.2,3,1,8,12,12
1237,8, 0.3,3,1,14,18,18
2175,12, 0.4,3,1,27,33,33
3583,5, 0.5,3,1,10,12,12
5461,12, 0.6,3,1,25,30,30
8174,21, 0.7,3,1,56,58,58
12867,31, 0.8,3,1,79,81,81
20620,78, 0.9,3,1,228,231,231
16,0, 0.0,4,1,0,0,0
184,2, 0.1,4,1,2,7,7
626,3, 0.2,4,1,5,9,9
1329,3, 0.3,4,1,5,9,9
2331,9, 0.4,4,1,22,31,31
3727,9, 0.5,4,1,32,34,34
5659,12, 0.6,4,1,34,40,40
8521,24, 0.7,4,1,75,93,93
13438,32, 0.8,4,1,96,102,102
21728,53, 0.9,4,1,180,183,183
29,2, 0.0,5,1,0,6,6
202,4, 0.1,5,1,3,13,13
678,2, 0.2,5,1,5,7,7
1394,6, 0.3,5,1,15,27,27
2481,9, 0.4,5,1,24,33,33
3877,10, 0.5,5,1,24,37,37
5857,19, 0.6,5,1,65,79,79
8793,17, 0.7,5,1,74,78,78
14021,43, 0.8,5,1,158,174,174
22868,75, 0.9,5,1,229,245,245
44,0, 0.0,6,1,0,0,0
238,2, 0.1,6,1,3,8,8
728,3, 0.2,6,1,8,13,13
1474,3, 0.3,6,1,9,15,15
2599,3, 0.4,6,1,9,15,15
4021,7, 0.5,6,1,17,33,33
6118,11, 0.6,6,1,50,62,62
9189,20, 0.7,6,1,78,94,94
14583,52, 0.8,6,1,205,228,228
23778,78, 0.9,6,1,346,367,367
52,1, 0.0,7,1,0,0,0
255,1, 0.1,7,1,0,1,1
793,3, 0.2,7,1,8,17,17
1530,4, 0.3,7,1,8,13,13
2694,7, 0.4,7,1,21,34,34
4179,10, 0.5,7,1,30,43,43
6285,15, 0.6,7,1,65,78,78
9507,27, 0.7,7,1,94,109,109
15146,36, 0.8,7,1,191,211,211
24726,126, 0.9,7,1,777,851,851
57,1, 0.0,8,1,0,4,4
298,3, 0.1,8,1,3,10,10
851,2, 0.2,8,1,3,6,6
1598,5, 0.3,8,1,18,33,33
2796,5, 0.4,8,1,22,31,31
4308,10, 0.5,8,1,36,45,45
6545,15, 0.6,8,1,75,93,93
9785,21, 0.7,8,1,74,89,89
15811,46, 0.8,8,1,192,218,218
25852,88, 0.9,8,1,562,608,608
74,1, 0.0,9,1,0,6,6
326,2, 0.1,9,1,2,4,4
952,5, 0.2,9,1,11,19,19
1700,5, 0.3,9,1,19,38,38
2914,9, 0.4,9,1,34,55,55
4459,13, 0.5,9,1,58,85,85
6719,16, 0.6,9,1,55,72,72
10148,15, 0.7,9,1,82,102,102
16369,52, 0.8,9,1,281,342,342
26930,54, 0.9,9,1,377,405,405
76,0,0,10,1,0,0,0
360,5,"0,1",10,1,7,24,24
1007,4,"0,2",10,1,6,21,21
1766,3,"0,3",10,1,5,13,13
3035,4,"0,4",10,1,16,20,20
4597,9,"0,5",10,1,30,46,46
6939,13,"0,6",10,1,80,112,112
10420,16,"0,7",10,1,77,97,97
16911,27,"0,8",10,1,178,210,210
28119,83,"0,9",10,1,576,622,622
0,0, 0.0,1,2,0,0,0
88,10, 0.1,1,2,5,5,5
410,11, 0.2,1,2,5,5,5
1046,16, 0.3,1,2,6,8,8
1836,32, 0.4,1,2,16,16,16
3134,28, 0.5,1,2,13,14,14
4802,70, 0.6,1,2,35,35,35
7215,107, 0.7,1,2,53,53,53
10827,220, 0.8,1,2,110,110,110
17433,316, 0.9,1,2,158,158,158
1,0, 0.0,2,2,0,0,0
135,4, 0.1,2,2,1,3,3
484,12, 0.2,2,2,10,10,10
1160,6, 0.3,2,2,5,5,5
2076,17, 0.4,2,2,15,16,16
3425,14, 0.5,2,2,10,13,13
5230,26, 0.6,2,2,23,23,23
7820,56, 0.7,2,2,50,55,55
12180,68, 0.8,2,2,64,64,64
19555,220, 0.9,2,2,217,217,217
10,0, 0.0,3,2,0,0,0
161,4, 0.1,3,2,3,6,6
570,12, 0.2,3,2,10,16,16
1245,14, 0.3,3,2,12,18,18
2187,17, 0.4,3,2,18,20,20
3588,22, 0.5,3,2,27,28,28
5473,28, 0.6,3,2,34,34,34
8195,41, 0.7,3,2,43,49,49
12898,74, 0.8,3,2,108,108,108
20698,142, 0.9,3,2,193,194,194
16,1, 0.0,4,2,0,0,0
186,4, 0.1,4,2,2,5,5
629,10, 0.2,4,2,9,15,15
1332,8, 0.3,4,2,8,15,15
2340,24, 0.4,4,2,31,43,43
3736,12, 0.5,4,2,15,20,20
5671,22, 0.6,4,2,36,40,40
8545,20, 0.7,4,2,28,30,30
13470,72, 0.8,4,2,95,102,102
21781,184, 0.9,4,2,295,310,310
31,2, 0.0,5,2,0,5,5
206,4, 0.1,5,2,3,6,6
680,10, 0.2,5,2,15,23,23
1400,10, 0.3,5,2,8,22,22
2490,15, 0.4,5,2,20,29,29
3887,12, 0.5,5,2,17,23,23
5876,18, 0.6,5,2,34,40,40
8810,26, 0.7,5,2,49,57,57
14064,96, 0.8,5,2,194,211,211
22943,94, 0.9,5,2,189,191,191
44,2, 0.0,6,2,0,1,1
240,4, 0.1,6,2,1,7,7
731,11, 0.2,6,2,11,22,22
1477,8, 0.3,6,2,8,21,21
2602,28, 0.4,6,2,34,60,60
4028,32, 0.5,6,2,54,68,68
6129,18, 0.6,6,2,38,43,43
9209,48, 0.7,6,2,99,124,124
14635,62, 0.8,6,2,129,144,144
23856,128, 0.9,6,2,341,352,352
53,4, 0.0,7,2,0,9,9
256,6, 0.1,7,2,4,12,12
796,8, 0.2,7,2,10,19,19
1534,10, 0.3,7,2,9,20,20
2701,10, 0.4,7,2,12,33,33
4189,19, 0.5,7,2,28,48,48
6300,38, 0.6,7,2,80,111,111
9534,26, 0.7,7,2,55,69,69
15182,90, 0.8,7,2,243,279,279
24852,188, 0.9,7,2,427,456,456
58,0, 0.0,8,2,0,0,0
301,6, 0.1,8,2,4,9,9
853,8, 0.2,8,2,11,24,24
1603,22, 0.3,8,2,33,71,71
2801,14, 0.4,8,2,21,32,32
4318,16, 0.5,8,2,39,51,51
6560,22, 0.6,8,2,51,63,63
9806,42, 0.7,8,2,104,129,129
15857,119, 0.8,8,2,251,294,294
25940,133, 0.9,8,2,383,396,396
75,0, 0.0,9,2,0,0,0
328,4, 0.1,9,2,3,12,12
957,4, 0.2,9,2,4,8,8
1705,10, 0.3,9,2,18,33,33
2923,18, 0.4,9,2,39,56,56
4472,29, 0.5,9,2,56,89,89
6735,34, 0.6,9,2,60,91,91
10163,26, 0.7,9,2,65,84,84
16421,62, 0.8,9,2,192,222,222
26984,138, 0.9,9,2,476,506,506
76,0, 0.0,10,2,0,0,0
365,0, 0.1,10,2,0,0,0
1011,4, 0.2,10,2,5,20,20
1769,12, 0.3,10,2,18,48,48
3039,16, 0.4,10,2,29,57,57
4606,30, 0.5,10,2,68,105,105
6952,28, 0.6,10,2,36,49,49
10436,48, 0.7,10,2,135,181,181
16938,66, 0.8,10,2,206,243,243
28202,168, 0.9,10,2,494,531,531
0,0, 0.0,1,3,0,0,0
98,10, 0.1,1,3,2,3,3
421,12, 0.2,1,3,4,4,4
1062,39, 0.3,1,3,13,13,13
1868,55, 0.4,1,3,18,18,18
3162,75, 0.5,1,3,25,25,25
4872,87, 0.6,1,3,28,29,29
7322,87, 0.7,1,3,29,29,29
11047,219, 0.8,1,3,73,73,73
17749,502, 0.9,1,3,167,167,167
1,0, 0.0,2,3,0,0,0
139,9, 0.1,2,3,4,5,5
496,21, 0.2,2,3,10,13,13
1166,18, 0.3,2,3,12,12,12
2093,21, 0.4,2,3,9,12,12
3439,49, 0.5,2,3,29,30,30
5256,63, 0.6,2,3,40,41,41
7876,78, 0.7,2,3,47,49,49
12248,111, 0.8,2,3,71,73,73
19775,201, 0.9,2,3,130,132,132
10,6, 0.0,3,3,0,4,4
165,1, 0.1,3,3,0,0,0
582,9, 0.2,3,3,5,8,8
1259,15, 0.3,3,3,6,13,13
2204,39, 0.4,3,3,25,36,36
3610,27, 0.5,3,3,20,27,27
5501,51, 0.6,3,3,42,45,45
8236,87, 0.7,3,3,59,64,64
12972,105, 0.8,3,3,96,100,100
20840,213, 0.9,3,3,197,202,202
17,3, 0.0,4,3,0,3,3
190,3, 0.1,4,3,2,4,4
639,16, 0.2,4,3,7,17,17
1340,9, 0.3,4,3,10,11,11
2364,12, 0.4,4,3,10,15,15
3748,36, 0.5,4,3,35,42,42
5693,63, 0.6,4,3,58,65,65
8565,51, 0.7,4,3,55,64,64
13542,84, 0.8,4,3,107,108,108
21965,285, 0.9,4,3,320,334,334
33,0, 0.0,5,3,0,0,0
210,9, 0.1,5,3,4,12,12
690,15, 0.2,5,3,8,22,22
1410,18, 0.3,5,3,20,27,27
2505,30, 0.4,5,3,21,36,36
3899,16, 0.5,5,3,15,19,19
5894,75, 0.6,5,3,77,111,111
8836,81, 0.7,5,3,99,124,124
14160,90, 0.8,5,3,109,116,116
23037,183, 0.9,5,3,222,228,228
46,6, 0.0,6,3,0,10,10
244,6, 0.1,6,3,1,7,7
742,9, 0.2,6,3,6,16,16
1485,18, 0.3,6,3,14,27,27
2630,21, 0.4,6,3,27,33,33
4060,42, 0.5,6,3,47,68,68
6147,36, 0.6,6,3,46,57,57
9257,105, 0.7,6,3,134,157,157
14697,126, 0.8,6,3,133,151,151
23984,174, 0.9,6,3,307,319,319
57,0, 0.0,7,3,0,0,0
262,9, 0.1,7,3,4,20,20
804,15, 0.2,7,3,11,26,26
1544,18, 0.3,7,3,18,33,33
2711,27, 0.4,7,3,23,33,33
4208,27, 0.5,7,3,31,47,47
6338,37, 0.6,7,3,53,74,74
9560,78, 0.7,7,3,124,168,168
15272,96, 0.8,7,3,167,193,193
25040,168, 0.9,7,3,269,282,282
58,1, 0.0,8,3,0,0,0
307,4, 0.1,8,3,0,1,1
861,9, 0.2,8,3,6,15,15
1625,24, 0.3,8,3,29,58,58
2815,36, 0.4,8,3,47,80,80
4334,39, 0.5,8,3,52,68,68
6582,54, 0.6,8,3,62,83,83
9848,102, 0.7,8,3,180,214,214
15976,117, 0.8,8,3,139,153,153
26073,159, 0.9,8,3,321,343,343
75,1, 0.0,9,3,0,0,0
332,9, 0.1,9,3,6,23,23
961,9, 0.2,9,3,6,19,19
1715,21, 0.3,9,3,20,44,44
2941,18, 0.4,9,3,15,27,27
4501,33, 0.5,9,3,50,75,75
6769,45, 0.6,9,3,72,100,100
10189,72, 0.7,9,3,134,153,153
16483,117, 0.8,9,3,223,252,252
27122,288, 0.9,9,3,593,628,628
76,3, 0.0,10,3,0,2,2
365,9, 0.1,10,3,5,19,19
1015,3, 0.2,10,3,4,10,10
1781,16, 0.3,10,3,19,42,42
3055,27, 0.4,10,3,32,43,43
4636,39, 0.5,10,3,52,91,91
6980,39, 0.6,10,3,73,97,97
10484,60, 0.7,10,3,108,135,135
17004,97, 0.8,10,3,206,233,233
28370,301, 0.9,10,3,607,647,647
0,1, 0.0,1,4,0,0,0
108,12, 0.1,1,4,3,3,3
433,8, 0.2,1,4,2,2,2
1101,28, 0.3,1,4,7,7,7
1923,52, 0.4,1,4,13,13,13
3237,65, 0.5,1,4,16,16,16
4959,121, 0.6,1,4,30,30,30
7409,152, 0.7,1,4,37,38,38
11266,333, 0.8,1,4,82,83,83
18251,464, 0.9,1,4,116,116,116
1,9, 0.0,2,4,0,3,3
148,0, 0.1,2,4,0,0,0
517,32, 0.2,2,4,11,13,13
1184,28, 0.3,2,4,5,12,12
2114,36, 0.4,2,4,16,17,17
3488,40, 0.5,2,4,19,19,19
5319,97, 0.6,2,4,43,45,45
7954,140, 0.7,2,4,67,67,67
12359,133, 0.8,2,4,63,63,63
19976,309, 0.9,2,4,152,152,152
16,0, 0.0,3,4,0,0,0
166,8, 0.1,3,4,3,6,6
591,20, 0.2,3,4,9,14,14
1274,20, 0.3,3,4,6,9,9
2243,28, 0.4,3,4,14,19,19
3637,45, 0.5,3,4,29,32,32
5552,32, 0.6,3,4,22,23,23
8323,88, 0.7,3,4,63,64,64
13077,160, 0.8,3,4,110,115,115
21053,180, 0.9,3,4,109,111,111
20,4, 0.0,4,4,0,4,4
193,4, 0.1,4,4,1,1,1
655,8, 0.2,4,4,4,8,8
1349,25, 0.3,4,4,14,23,23
2376,20, 0.4,4,4,10,14,14
3784,28, 0.5,4,4,15,21,21
5756,36, 0.6,4,4,26,34,34
8616,76, 0.7,4,4,46,47,47
13626,160, 0.8,4,4,139,146,146
22250,268, 0.9,4,4,203,206,206
33,1, 0.0,5,4,0,0,0
219,4, 0.1,5,4,1,4,4
705,8, 0.2,5,4,4,9,9
1428,16, 0.3,5,4,11,19,19
2535,24, 0.4,5,4,11,19,19
3915,56, 0.5,5,4,41,57,57
5969,69, 0.6,5,4,49,69,69
8917,92, 0.7,5,4,76,86,86
14250,128, 0.8,5,4,127,137,137
23220,148, 0.9,5,4,125,128,128
52,0, 0.0,6,4,0,0,0
250,5, 0.1,6,4,2,2,2
751,12, 0.2,6,4,8,18,18
1503,17, 0.3,6,4,14,21,21
2651,28, 0.4,6,4,21,40,40
4102,52, 0.5,6,4,36,48,48
6183,72, 0.6,6,4,73,100,100
9362,64, 0.7,6,4,61,71,71
14823,128, 0.8,6,4,151,171,171
24158,228, 0.9,6,4,259,271,271
57,0, 0.0,7,4,0,0,0
271,12, 0.1,7,4,3,14,14
819,12, 0.2,7,4,5,15,15
1562,16, 0.3,7,4,9,19,19
2738,28, 0.4,7,4,18,31,31
4235,48, 0.5,7,4,52,73,73
6375,80, 0.6,7,4,62,89,89
9638,52, 0.7,7,4,57,65,65
15368,168, 0.8,7,4,216,254,254
25208,244, 0.9,7,4,315,328,328
59,0, 0.0,8,4,0,0,0
311,0, 0.1,8,4,0,0,0
870,32, 0.2,8,4,15,26,26
1649,21, 0.3,8,4,13,31,31
2851,28, 0.4,8,4,14,29,29
4373,36, 0.5,8,4,28,49,49
6636,28, 0.6,8,4,28,37,37
9950,88, 0.7,8,4,115,160,160
16093,156, 0.8,8,4,160,177,177
26232,328, 0.9,8,4,485,514,514
76,0, 0.0,9,4,0,0,0
341,4, 0.1,9,4,1,1,1
970,16, 0.2,9,4,8,24,24
1736,20, 0.3,9,4,15,22,22
2959,36, 0.4,9,4,36,61,61
4534,28, 0.5,9,4,30,42,42
6814,65, 0.6,9,4,73,99,99
10261,64, 0.7,9,4,94,112,112
16600,176, 0.8,9,4,274,323,323
27410,364, 0.9,9,4,525,550,550
79,5, 0.0,10,4,0,1,1
374,20, 0.1,10,4,7,19,19
1018,8, 0.2,10,4,4,10,10
1797,12, 0.3,10,4,6,14,14
3082,20, 0.4,10,4,21,36,36
4675,32, 0.5,10,4,34,43,43
7019,36, 0.6,10,4,48,62,62
10544,104, 0.7,10,4,138,168,168
17101,68, 0.8,10,4,110,123,123
28671,352, 0.9,10,4,428,452,452
1,0, 0.0,1,5,0,0,0
120,10, 0.1,1,5,2,2,2
441,36, 0.2,1,5,7,7,7
1129,26, 0.3,1,5,5,5,5
1975,90, 0.4,1,5,17,18,18
3302,110, 0.5,1,5,22,22,22
5080,130, 0.6,1,5,26,26,26
7561,230, 0.7,1,5,46,46,46
11599,500, 0.8,1,5,100,100,100
18715,740, 0.9,1,5,148,148,148
10,0, 0.0,2,5,0,0,0
148,10, 0.1,2,5,2,4,4
549,16, 0.2,2,5,5,5,5
1212,25, 0.3,2,5,9,10,10
2150,25, 0.4,2,5,10,10,10
3528,55, 0.5,2,5,20,22,22
5416,45, 0.6,2,5,16,16,16
8094,80, 0.7,2,5,32,32,32
12492,375, 0.8,2,5,137,137,137
20285,335, 0.9,2,5,121,122,122
16,0, 0.0,3,5,0,0,0
174,10, 0.1,3,5,3,4,4
611,15, 0.2,3,5,5,9,9
1294,35, 0.3,3,5,15,19,19
2271,60, 0.4,3,5,22,26,26
3682,45, 0.5,3,5,19,23,23
5584,75, 0.6,3,5,34,38,38
8411,110, 0.7,3,5,55,59,59
13237,201, 0.8,3,5,104,109,109
21233,495, 0.9,3,5,269,271,271
24,5, 0.0,4,5,0,1,1
197,5, 0.1,4,5,1,3,3
663,15, 0.2,4,5,3,9,9
1374,20, 0.3,4,5,9,13,13
2396,85, 0.4,4,5,35,53,53
3812,65, 0.5,4,5,34,49,49
5792,65, 0.6,4,5,44,49,49
8692,101, 0.7,4,5,63,68,68
13786,235, 0.8,4,5,141,159,159
22518,350, 0.9,4,5,186,186,186
34,10, 0.0,5,5,0,7,7
223,15, 0.1,5,5,9,15,15
713,15, 0.2,5,5,6,12,12
1444,30, 0.3,5,5,14,20,20
2559,40, 0.4,5,5,23,38,38
3971,50, 0.5,5,5,29,38,38
6038,80, 0.6,5,5,54,67,67
9009,180, 0.7,5,5,116,134,134
14378,205, 0.8,5,5,155,170,170
23368,410, 0.9,5,5,325,339,339
52,0, 0.0,6,5,0,0,0
255,0, 0.1,6,5,0,0,0
763,30, 0.2,6,5,15,31,31
1520,10, 0.3,6,5,4,7,7
2679,15, 0.4,6,5,6,11,11
4154,25, 0.5,6,5,16,23,23
6255,30, 0.6,6,5,26,32,32
9426,81, 0.7,6,5,68,79,79
14951,195, 0.8,6,5,164,177,177
24386,340, 0.9,6,5,308,320,320
57,0, 0.0,7,5,0,0,0
283,15, 0.1,7,5,2,11,11
831,20, 0.2,7,5,12,25,25
1578,20, 0.3,7,5,10,15,15
2766,30, 0.4,7,5,19,29,29
4283,25, 0.5,7,5,24,32,32
6455,90, 0.6,7,5,79,104,104
9690,95, 0.7,7,5,103,125,125
15536,275, 0.8,7,5,203,233,233
25452,400, 0.9,7,5,457,490,490
59,15, 0.0,8,5,0,18,18
311,15, 0.1,8,5,4,20,20
902,50, 0.2,8,5,20,55,55
1670,30, 0.3,8,5,17,34,34
2879,35, 0.4,8,5,27,39,39
4409,50, 0.5,8,5,45,58,58
6664,55, 0.6,8,5,44,56,56
10038,110, 0.7,8,5,106,128,128
16249,120, 0.8,8,5,136,151,151
26560,370, 0.9,8,5,476,504,504
76,0, 0.0,9,5,0,0,0
345,15, 0.1,9,5,5,9,9
986,21, 0.2,9,5,12,22,22
1756,10, 0.3,9,5,3,18,18
2995,40, 0.4,9,5,31,52,52
4562,35, 0.5,9,5,31,46,46
6879,60, 0.6,9,5,57,75,75
10325,95, 0.7,9,5,89,117,117
16776,135, 0.8,9,5,174,199,199
27774,345, 0.9,9,5,505,548,548
84,0, 0.0,10,5,0,0,0
394,10, 0.1,10,5,6,13,13
1026,15, 0.2,10,5,9,25,25
1809,10, 0.3,10,5,2,3,3
3102,16, 0.4,10,5,9,26,26
4707,55, 0.5,10,5,41,63,63
7055,80, 0.6,10,5,88,118,118
10648,110, 0.7,10,5,114,136,136
17169,105, 0.8,10,5,152,173,173
29023,600, 0.9,10,5,476,511,511
29623,,,,,,,
 ,,,,,,,
